,word,perplexity
0,revenues,5.709427917040634
1,pursue,6.184050919249805
2,tracking,3.001747104582738
3,concentration,3.3038602974683453
4,stephen,6.398503901060102
5,streams,4.988277638560016
6,info,8.579251437369038
7,petite,4.246329871357865
8,reunion,4.416730812003014
9,acknowledged,7.624383409699199
10,norway,8.035698713304408
11,initiated,4.356041769509206
12,roberts,5.143796258727871
13,azerbaijan,11.6363691665292
14,wisdom,7.189943360864059
15,aluminium,6.652464306337373
16,assume,5.593687648467954
17,cuban,6.270103409507415
18,examines,4.096751354004513
19,shades,4.208004044392065
20,identity,4.174874324397507
21,jokes,5.52311343498112
22,related,4.095152531337831
23,presenting,3.453502594511184
24,existence,5.148725563840854
25,latest,4.475567145403403
26,breakdown,11.913861810724859
27,orientation,4.178547089751648
28,upgrades,5.849331105010217
29,hardware,7.042266385786736
30,geek,9.437298884658063
31,daddy,5.865350183290123
32,rebate,4.152851893849113
33,child,5.037687966367463
34,drive,4.64558757990511
35,url,10.138042624436213
36,move,5.196959816275518
37,concepts,4.350288005960771
38,estate,4.332608280068668
39,viii,12.824252417756934
40,guaranteed,5.130900048602598
41,classics,5.504082702576481
42,mason,5.875905685270161
43,induced,4.926606790711695
44,weekly,8.289462687928083
45,g,12.806102655822436
46,glasgow,7.386222250639815
47,automatically,5.866786866081524
48,exciting,3.6132638249749873
49,restaurants,4.6900848373407715
50,pie,9.4802651264995
51,bi,10.22827870421212
52,grown,7.23429145641244
53,minute,4.450555752242647
54,former,3.8748617436598267
55,burner,4.154172538913538
56,georgia,7.710637057578259
57,spanking,3.6518108750675147
58,in,6.06710557074563
59,illustration,4.504240066038622
60,reason,5.143384846393625
61,lesser,3.9437171520717476
62,no,7.377208439323228
63,consistently,4.226802541121557
64,feeling,4.355745190764136
65,celtic,5.602656042989418
66,campus,6.291824300635709
67,joke,6.432346716893295
68,steering,4.027778907589241
69,evaluate,5.311207794504479
70,criticism,6.801520115957985
71,wheels,6.025113411341737
72,situations,3.768030727778001
73,negative,5.4390505911535305
74,narrow,7.431480113168025
75,stephanie,5.854773973366773
76,edgar,7.2185133060943505
77,gamespot,5.982348022684108
78,doom,6.8779408072232995
79,marathon,4.548297353549907
80,miss,4.591457520456502
81,hometown,7.333694101790388
82,commodities,3.926410927483342
83,filter,4.492092032508332
84,radar,6.720496493252337
85,soccer,6.036463178969632
86,state,3.991916759087101
87,customs,4.639278857109524
88,fp,10.248941696505337
89,specs,6.590237584614411
90,mental,4.4219351806409986
91,quiz,15.490629214513083
92,consumer,3.452463749644108
93,fox,7.377195028670971
94,xanax,17.63301523529919
95,involving,6.086686669567179
96,might,6.276701204647574
97,bought,5.430292934025814
98,founded,4.008843193811572
99,b,11.35166136466251
100,most,7.058669422665277
101,papua,10.894796692205283
102,substantially,5.734849404111544
103,pierce,5.358341560055774
104,away,9.146998026765669
105,min,4.725953237983788
106,civic,6.792784277589997
107,rem,5.756652670051811
108,ist,6.900337229030982
109,technicians,6.219789927067631
110,responding,3.5339784313373683
111,underlying,4.645177632348132
112,warming,3.341706640768735
113,bestsellers,6.344737531074391
114,ali,7.877138396592869
115,orleans,4.345669209946429
116,speed,5.596123069570414
117,administration,4.90469189622039
118,guam,6.0048084324166435
119,costumes,3.9930648035908862
120,effectiveness,5.7280477454654495
121,boats,6.037877914399495
122,inner,5.678782344214634
123,letters,4.643942634536426
124,ups,6.691140376143411
125,surgeon,4.359800422125682
126,trader,4.289301054785894
127,qld,9.175324305306692
128,some,5.812874674227763
129,launched,5.765620315520099
130,un,8.422308089790645
131,i,23.420427287078212
132,jacket,5.260243851135876
133,settings,3.4886086427620646
134,fame,6.0423897215842555
135,studies,5.283477596653793
136,welding,4.052401536066902
137,handbag,7.61623682997117
138,remind,4.498787159603867
139,hypothetical,9.180443266963787
140,influences,5.55738520325876
141,field,5.985675714204335
142,addressing,4.616324597555412
143,arabia,7.751302126658965
144,wiley,5.940543898843568
145,object,9.241472416252403
146,clan,5.86951481698428
147,radius,4.670788732403416
148,nutritional,5.530181688435324
149,beaches,4.14986688959922
150,com,4.731897312864873
151,bisexual,10.71114653962613
152,jackie,7.027801274119751
153,approaches,5.069244983649202
154,prediction,3.7858793318907367
155,streaming,3.87536541671602
156,inches,5.031937676579333
157,firmware,8.376854610542939
158,abu,13.964064699465922
159,anyone,6.797578219182107
160,moments,4.025145881037988
161,west,5.633670006080849
162,boob,8.40266261286584
163,season,5.8820011953335305
164,attack,4.961679156354135
165,immunology,8.572406195980777
166,diseases,4.832163651203914
167,spies,5.018585379277193
168,cleared,4.58835894837418
169,neil,7.1294641116804875
170,ta,9.19245482775768
171,therapeutic,5.832932589579048
172,qui,8.153481579352393
173,suffering,4.387622912498735
174,aged,5.2979391390278145
175,remote,4.956646318060344
176,reservations,3.933207283732004
177,catering,3.7689091507815364
178,wordpress,5.802450620650454
179,define,4.693123357777125
180,brick,5.377362454146988
181,admission,4.833211474641196
182,dress,5.738599875255236
183,journalism,7.161868772911994
184,male,4.274888251051521
185,towards,5.354536082785675
186,bon,6.476313332108253
187,dramatically,4.885940204405029
188,dealt,5.561313707344226
189,programme,5.999393638615346
190,current,4.3913630950516165
191,pn,12.992136959785853
192,treat,4.593725316277816
193,complementary,4.828449382848602
194,marina,4.970265028925885
195,thinkpad,8.373972885452305
196,ny,12.18658167872576
197,leaf,6.904145888276228
198,tree,7.573776657962843
199,payroll,8.99268364381168
200,alone,5.100901894425462
201,endorsement,5.561944216915583
202,settle,4.499745589115783
203,highs,5.714532836766374
204,notice,3.8199567878440255
205,copies,4.642631240698841
206,animal,5.562968257934935
207,reproduction,4.1891188461813815
208,ada,8.179834140266221
209,rolling,3.9275385103599736
210,parties,4.213084306040874
211,amount,5.067836102138217
212,aspect,5.309603554124569
213,ozone,6.824830422043137
214,adams,6.666769415170375
215,tar,6.011255216753887
216,careful,6.47948103589402
217,consortium,5.524637016691061
218,laptops,6.810113002874933
219,ve,8.37171885523015
220,dropping,5.402918601235293
221,internet,3.89390713059477
222,relying,4.782508979403461
